id,year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2022,MI,FT,Data Analyst,90000,SGD,65950,SG,50,SG,M
2,2022,MI,FT,AI Scientist,200000,USD,200000,US,100,US,M
3,2022,EN,FT,Machine Learning Developer,180000,USD,180000,US,100,US,L
4,2022,MI,FT,Data Scientist,153000,USD,153000,US,100,US,L
5,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
6,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
7,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
8,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
9,2022,MI,FT,Machine Learning Scientist,22800,USD,22800,EG,100,EG,M
10,2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
11,2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
12,2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
13,2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
14,2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
15,2022,EN,FT,Data Analyst,15000,USD,15000,ID,0,ID,L
16,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
17,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
18,2022,SE,FT,Data Science Manager,193000,AUD,138851,AU,100,AU,L
19,2022,EN,FT,Machine Learning Engineer,83000,USD,83000,US,0,US,L
20,,MI,FT,Data Engineer,75000,GBP,97341,GB,100,GB,M
21,,MI,FT,Data Engineer,55000,GBP,71383,GB,100,GB,M
22,2022,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
23,2022,SE,FT,Data Scientist,148800,USD,148800,US,0,US,M
24,2022,SE,FT,Data Analyst,112900,USD,112900,US,0,US,m
25,2022,SE,FT,Data Analyst,90320,USD,90320,US,0,US,m
26,2022,SE,FT,ML Engineer,240000,USD,240000,US,0,US,m
27,2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
28,2022,SE,FT,Data Science Manager,300000,USD,300000,US,100,US,M
29,2022,SE,FT,Data Science Manager,200000,USD,200000,US,100,US,M
30,2022,MI,FT,Data Engineer,62500,EUR,68324,DE,50,DE,S
31,2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
32,2022,MI,FT,Machine Learning Engineer,95000,GBP,123298,GB,0,GB,M
33,2022,MI,FT,Machine Learning Engineer,75000,GBP,97341,GB,0,GB,XXX
34,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,XXX
35,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,XXX
36,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
37,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
38,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
39,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
40,2022,MI,FT,Data Engineer,90000,GBP,116809,GB,0,GB,M
41,2022,MI,FT,Data Engineer,75000,GBP,97341,GB,0,GB,M
42,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
43,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
44,2022,SE,FT,Data Engineer,209100,USD,209100,US,,US,L
45,2022,SE,FT,Data Engineer,154600,USD,154600,US,,US,L
46,2022,SE,FT,Data Analyst,115934,USD,115934,US,,US,M
47,2022,SE,FT,Data Analyst,81666,USD,81666,US,,US,M
48,2022,SE,FT,Data Engineer,175000,USD,175000,US,,US,M
49,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
50,2022,MI,FT,Machine Learning Engineer,80000,EUR,87454,FR,100,DE,M
51,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
52,2022,SE,FT,Data Analyst,25000000000,USD,25000000000,US,0,US,M
53,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
54,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
55,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
56,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
57,2022,MI,FT,ETL Developer,50000,EUR,54659,GR,0,GR,M
58,2022,MI,FT,ETL Developer,50000,EUR,54659,GR,0,GR,M
59,2022,EX,FT,Lead Data Engineer,150000,CAD,117990,CA,100,CA,S
60,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
61,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
62,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
63,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
64,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
65,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
66,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
67,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
68,2022,EX,FT,Head of Machine Learning,6000000,INR,78747,IN,50,IN,L
69,2022,EN,FT,Machine Learning Engineer,28500,GBP,36989,GB,100,GB,L
70,2022,SE,FT,Data Engineer,,USD,,US,100,US,L
71,2022,SE,FT,Data Engineer,,USD,,US,100,US,L
72,2022,MI,FT,Data Analyst,,GBP,,GB,100,GB,M
73,2022,MI,FT,Data Analyst,30000,GBP,38936,GB,100,GB,M
74,2022,MI,FT,Data Analyst,40000,EUR,43727,ES,100,ES,M
75,2022,MI,FT,Data Analyst,30000,EUR,3.6E+11,ES,100,ES,M
76,2022,MI,FT,Data Engineer,80000,EUR,87454,ES,100,ES,M
